address1,address2,city,country,email,id,latitude,longitude,name,phone,state,zip
195 State Road,,Kittery,US,AdoptionsKAH@gmail.com,ME118,43.0899,-70.7415,Kittery Animal Hospital and Creature Comforts LLC,(207) 439-4158,ME,3904
94 Grove Road,,Rye,US,lgrovefarm@aol.com,NH81,42.9885,-70.8282,Lilac Groves Pampered Pups,603-964-1475 ,NH,3870
,,Rye,US,Rescue@NNEwestierescue.org,NH140,42.9885,-70.8282,Northern New England Westie Rescue Inc,,NH,3870
104 Portsmouth Avenue,P.O. Box 196,Stratham,US,info@nhspca.org,NH31,43.0028,-70.9212,NHSPCA,603-772-2921,NH,3885
,,York,US,thegratefuldoganimalrescue@gmail.com,ME158,43.1502,-70.6281,The Grateful Dog Animal Rescue,,ME,3909
4 Baker St,,Newfields,US,info@cats1st.org,NH105,43.0377,-70.9861,Cats 1st,(603) 988-5592,NH,3856
262 County Farm Road,,Dover,US,adoption@cvhsonline.org,NH54,43.1921,-70.8801,Cocheco Valley Humane Society,(603) 749-5322,NH,3820
,,Brentwood,US,DaisyandRambo@comcast.net,NH96,42.9783,-70.9666,4 Lil Paws Ferret Shelter,(603) 778-0172,NH,3833
,,Seabrook,US,makepeace4paws@comcast.net,NH48,42.9002,-70.8839,All Breed Rescue and Adoption Inc.,(603) 580-2121,NH,3874
63 Elm St.,Rte 110,Salisbury,US,adoptioncounselor@mrfrs.org,MA65,42.8376,-70.8733,Merrimack River Feline Rescue Society,(978) 462-0760,MA,1952
,,North Berwick,US,axel1759@aol.com,ME151,43.3043,-70.7353,Emma's Angels Rescue,207-676-5599,ME,3906
10 Main St. Unit 99,,Gonic,US,adoption@furrr.org,NH154,43.2759,-70.9891,"FuRRR Feline Rescue, Rehabilitation and Retirement",,NH,3839
,,Merrimac,US,laurie@safetails.org,MA525,42.8335,-71.005,Safe Tails Animal Rescue,(978) 384-8004,MA,1860
1420 Post Road,PO Box 91,Wells,US,info@safehavenhumanesociety.org,ME69,43.31100000000001,-70.5749,Safe Haven Humane Society,207-646-1611,ME,4090
52 Ash St,,West Newbury,US,info@neernorth.org,MA465,42.793,-70.9765,New England Equine Rescue North,(508) 284-4022,MA,1985
,,Sandown,US,pronepups@gmail.com,NH147,42.9389,-71.1662,PRONE - Papillon Rescue of the North East,,NH,3873
,,Haverhill,US,onetail@onetailatatime.com,MA265,42.7843,-71.0734,"One Tail at a Time Rescue, Inc.",please email  ,MA,1830
,,Atkinson,US,cairnrescueleague@gmail.com,NH75,42.8429,-71.1634,Cairn Rescue League,,NH,3811
,,Lebanon,US,alphadogrescue@gmail.com,ME97,43.4104,-70.8751,Alpha Dog Rescue,(603) 781-8876,ME,4027
,,Northwood,US,marysdogsadoptions@gmail.com,NH138,43.218,-71.2465,Mary's Dogs,(603) 608-3374,NH,3261
,,Kennebunkport,US,luckypuprescue@yahoo.com,ME89,43.3592,-70.4753,Lucky Pup Rescue,,ME,4046
17 Fowlers Lane,PO Box 873,Ipswich,US,ileashakees@gmail.com,MA135,42.6829,-70.8423,Ipswich Humane Group Inc.,(978) 356-6652,MA,1938
,,Farmington,US,in2catz@gmail.com,NH112,43.3917,-71.0658,Voice for Animals,,NH,3835
P. O. Box 142,,East Derry,US,contact@derryhumanesociety.com,NH10,42.8944,-71.2917,Greater Derry Humane Society Inc.,603-434-1512,NH,3041
PO Box 2452,,Salem,US,felinefral@gmail.com,NH32,42.7904,-71.2182,Feline Friends,603 893-2483,NH,3079
4 Sarl Dr,(behind Barons TV Rte 28),Salem,US,tmartin@sarlnh.org,NH71,42.7904,-71.2182,Salem Animal Rescue League,603-893-3210,NH,3079
400 Broadway,Route 28,Methuen,US,methuen@mspca.org,MA147,42.7272,-71.1763,MSPCA at Nevins Farm,978-687-7453,MA,1844
69 Forest Street,,Methuen,US,OddDogRescue@aol.com,MA90,42.7272,-71.1763,Odd Dog Rescue,(802) 376-6044,MA,1844
4 Paws Lane,,Gloucester,US,info@capeannanimalaid.org,MA128,42.6258,-70.6665,Cape Ann Animal Aid,(978) 283-6055,MA,1930
PO Box 305,,Milton Mills,US,director@gpa-cnhc.org,NH50,43.5014,-70.9638,Greyhound Pets of America - Central NH Chapter,(800) 507-9597,NH,3852
,,Andover,US,info@gdrne.com,MA224,42.6487,-71.1558,Great Dog Rescue New England,Email Only,MA,1810
20 Paradise Lane,,Chichester,US,tehorse@aol.com,NH65,43.257332,-71.40144599999999,Live and Let Live Farm,(603) 798-5615,NH,3258
109 Dover Rd,,Chichester,US,homes4happydogs@gmail.com,NH149,43.257332,-71.40144599999999,"Homes for Happy Dogs, Inc.",603-961-0234  ,NH,3258
P.O. Box 693,,Manchester,US,info@animalallies.org,NH67,42.9956,-71.4553,Animal Allies,(603) 228-6755,NH,3105
,,Hathorne,US,neahr@comcast.net,MA477,42.5831,-70.9858,"North East Afghan Hound Rescue, Inc",,MA,1937
55 Carl Drive,,Manchester,US,,NH142,42.9667,-71.4502,All Better Pets,(603) 413-0454,NH,3103
332 Kelley St,,Manchester,US,DK@darbster.net,NH160,42.9667,-71.4502,Darbster Foundation,(603) 856-9233,NH,3103
PO Box 3378,,Beverly,US,heidiroberts@comcast.net,MA376,42.5611,-70.877,Friends of Beverly Animals,978 927-4157,MA,1915
,,Beverly,US,info@luckymuttanimalrescue.com,MA459,42.5611,-70.877,Lucky Mutt Animal Rescue,,MA,1915
,,Saco,US,info@hopeharboranimalsociety.org,ME136,43.5004,-70.4433,Hope Harbor Animal Society,207-283-0283  ,ME,4072
P.O. Box 1053,,Pelham,US,info@arnne.org,NH95,42.7365,-71.3243,Animal Rescue Network of New England,603-233-4801  ,NH,3076
490 Dunbarton Road,,Manchester,US,lisa@manchesteranimalshelter.org,NH25,42.9876,-71.4866,Friends of the Manchester Animal Shelter,(603) 628-3544,NH,3102
,,Manchester,US,info@fordogssakerescue.org,NH139,42.9876,-71.4866,For Dog's Sake,,NH,3102
150 (R) Main St,,Peabody,US,annamarietaylor@verizon.net,MA41,42.5322,-70.9633,Animal Umbrella Inc.,(508) 877-1194,MA,1960
347 Highland Ave,,Salem,US,info@neas.org,MA171,42.5172,-70.8999,Northeast Animal Shelter,(978) 745-9888,MA,1970
10 Traders Way,,Salem,US,adoptions@palsanimallifesavers.com,MA199,42.5172,-70.8999,PALS Animal Life Savers,978-531-7478  ,MA,1970
PO Box 405,,Salem,US,theoddcatsanctuary@gmail.com,MA511,42.5172,-70.8999,The Odd Cat Sanctuary,,MA,1970
545 Route 101,,Bedford,US,njohnston@rescueleague.org,NH03,42.9401,-71.5235,Animal Rescue League of New Hampshire,(603) 472-3647,NH,3110
PO Box 63401,,Tewksbury,US,info@blinddogrescue.com,MA423,42.6003,-71.2205,Blind Dog Rescue Alliance - MA,877-BLIND-01,MA,1876
