breed_values,breed
0,Hanoverian Scenthound
1,Papillon
2,Bearded Collie
3,Manchester Terrier (Toy)
4,Yakutian Laika
5,Borzoi
6,Australian Stumpy Tail Cattle Dog
7,Belgian Laekenois
8,Chow Chow
9,Pomeranian
10,Havanese
11,German Shepherd Dog
12,Giant Schnauzer
13,Lapponian Herder
14,Norfolk Terrier
15,Chinese Crested
16,Kishu Ken
17,Neapolitan Mastiff
18,Greyhound
19,Chinese Shar-Pei
20,Black and Tan Coonhound
21,Field Spaniel
22,Kuvasz
23,Bloodhound
24,Sealyham Terrier
25,Alaskan Malamute
26,Stabyhoun
27,Wetterhoun
28,English Setter
29,Japanese Chin
30,Basset Hound
31,Welsh Terrier
32,Carolina Dog
33,Boykin Spaniel
34,Afghan Hound
35,Braque Francais Pyrenean
36,Belgian Tervuren
37,Cairn Terrier
38,Dandie Dinmont Terrier
39,Mudi
40,Airedale Terrier
41,German Pinscher
42,Gordon Setter
43,Cavalier King Charles Spaniel
44,Basenji
45,Central Asian Shepherd Dog
46,English Toy Spaniel
47,Drentsche Patrijshond
48,Swedish Lapphund
49,Leonberger
50,Canaan Dog
51,Boerboel
52,Collie
53,Peruvian Inca Orchid
54,Saluki
55,Portuguese Podengo Pequeno
56,Taiwan Dog
57,Portuguese Water Dog
58,American Eskimo Dog
59,Miniature American Shepherd
60,Anatolian Shepherd Dog
61,Tibetan Spaniel
62,Kai Ken
63,Dalmatian
64,Wirehaired Pointing Griffon
65,Azawakh
66,Scottish Terrier
67,Perro de Presa Canario
68,Vizsla
69,Australian Kelpie
70,Xoloitzcuintli
71,Croatian Sheepdog
72,Shiba Inu
73,Tibetan Terrier
74,Sloughi
75,Estrela Mountain Dog
76,Broholmer
77,Shih Tzu
78,Small Munsterlander Pointer
79,Dogo Argentino
80,Irish Setter
81,Sussex Spaniel
82,Irish Water Spaniel
83,Lagotto Romagnolo
84,Bernese Mountain Dog
85,French Spaniel
86,Cocker Spaniel
87,Coton de Tulear
88,Pumi
89,Pekingese
90,German Shorthaired Pointer
91,Segugio Italiano
92,American Foxhound
93,Great Pyrenees
94,Lancashire Heeler
95,Bavarian Mountain Scent Hound
96,Cane Corso
97,Braque du Bourbonnais
