Breed,Breed Group,Ranking,Height (avg),Weight (avg),Lifespan (avg),Grooming Frequency (value),Shedding (value),Energy Level (value),Trainability (value),Demeanor (value)
Affenpinscher,Toy Group,148.0,11.0,9.5,13.5,0.6,0.6,0.6,0.8,1.0
Afghan Hound,Hound Group,113.0,26.0,55.0,13.5,0.8,0.2,0.8,0.2,0.2
Airedale Terrier,Terrier Group,60.0,22.0,47.0,12.5,0.6,0.4,0.6,1.0,0.8
Akita,Working Group,47.0,26.0,100.0,11.5,0.8,0.6,0.8,1.0,0.6
Alaskan Malamute,Working Group,58.0,24.0,80.0,12.0,0.6,0.6,0.8,0.4,0.8
American Bulldog,Foundation Stock Service,0.0,22.5,80.0,11.0,0.2,0.6,0.8,0.6,0.6
American English Coonhound,Hound Group,175.0,24.0,65.0,11.5,0.2,0.4,0.8,0.6,0.6
American Eskimo Dog,Non-Sporting Group,122.0,16.5,26.5,14.0,0.4,0.6,0.8,1.0,1.0
American Foxhound,Hound Group,186.0,23.0,65.0,12.0,0.2,0.6,0.8,0.4,0.8
American Hairless Terrier,Terrier Group,136.0,14.0,18.0,15.0,0.2,0.2,0.8,0.4,0.6
American Leopard Hound,Foundation Stock Service,0.0,24.0,55.0,13.5,0.4,0.6,0.8,1.0,0.6
American Staffordshire Terrier,Terrier Group,85.0,18.0,55.0,14.0,0.2,0.4,0.6,0.6,0.6
American Water Spaniel,Sporting Group,166.0,16.5,35.0,12.0,0.6,0.2,0.6,1.0,0.8
Anatolian Shepherd Dog,Working Group,90.0,29.5,115.5,12.0,0.4,0.6,0.6,0.4,0.4
Appenzeller Sennenhund,Foundation Stock Service,0.0,21.0,50.0,13.5,0.4,0.8,1.0,0.2,0.4
Australian Cattle Dog,Herding Group,55.0,18.5,41.5,14.0,0.2,0.8,1.0,0.2,0.4
Australian Kelpie,Foundation Stock Service,0.0,20.0,35.0,11.5,0.4,0.8,0.8,1.0,0.6
Australian Shepherd,Herding Group,17.0,20.5,52.5,13.5,0.4,0.6,0.8,1.0,0.6
Australian Stumpy Tail Cattle Dog,Foundation Stock Service,0.0,18.5,38.5,13.5,0.4,0.4,0.8,0.8,0.6
Australian Terrier,Terrier Group,140.0,10.5,17.5,13.0,0.4,0.2,0.8,0.6,0.8
Azawakh,Hound Group,0.0,26.0,41.0,13.5,0.4,0.4,0.6,0.4,0.8
Barbet,Sporting Group,0.0,22.0,50.0,13.0,0.4,0.2,0.6,0.6,0.8
Basenji,Hound Group,87.0,16.5,23.0,13.5,0.2,0.4,0.8,0.4,0.4
Basset Fauve de Bretagne,Foundation Stock Service,0.0,14.0,31.0,12.0,0.4,0.6,0.6,0.2,1.0
Basset Hound,Hound Group,39.0,14.0,60.0,12.5,0.6,0.4,0.2,0.4,0.8
Bavarian Mountain Scent Hound,Foundation Stock Service,0.0,19.0,51.5,13.5,0.4,0.8,0.6,0.6,0.4
Beagle,Hound Group,6.0,15.0,23.5,12.5,0.6,0.6,0.8,0.6,0.8
Bearded Collie,Herding Group,127.0,21.0,50.0,13.0,0.8,0.6,0.6,0.4,1.0
Beauceron,Herding Group,124.0,26.0,90.0,11.0,0.6,1.0,1.0,0.8,0.4
Bedlington Terrier,Terrier Group,141.0,16.5,20.0,13.5,0.6,0.4,0.8,0.6,0.6
Belgian Laekenois,Miscellaneous Class,0.0,24.0,60.0,11.0,0.4,0.8,0.8,0.8,0.4
Belgian Malinois,Herding Group,43.0,24.0,60.0,15.0,0.4,0.6,0.8,0.8,0.4
Belgian Sheepdog,Herding Group,125.0,24.0,60.0,13.0,0.6,0.6,0.8,0.8,0.4
Belgian Tervuren,Herding Group,106.0,24.0,60.0,13.0,0.6,0.6,0.8,0.8,0.4
Bergamasco Sheepdog,Herding Group,187.0,23.0,70.5,14.0,0.2,0.2,0.4,0.6,0.4
Berger Picard,Herding Group,144.0,23.5,60.0,12.5,0.2,0.6,1.0,0.8,0.6
Bernese Mountain Dog,Working Group,22.0,24.0,130.0,8.5,0.6,1.0,0.8,0.8,0.4
Bichon Frise,Non-Sporting Group,46.0,10.5,15.0,14.5,1.0,0.2,0.6,0.6,1.0
Biewer Terrier,Miscellaneous Class,0.0,9.0,6.0,16.0,0.6,0.4,0.4,1.0,1.0
Black Russian Terrier,Working Group,118.0,28.0,105.0,11.0,0.8,0.6,0.8,0.8,0.4
