Breed,Ranking,Height (min),Height (max),Weight (min),Weight (max),Lifespan (min),Lifespan (max),Breed Group,Grooming Frequency (value),Shedding (value),Energy Level (value),Trainability (value),Demeanor (value)
Affenpinscher,148.0,10.0,12.0,7.0,12.0,12.0,15.0,Toy Group,0.6,0.6,0.6,0.8,1.0
Afghan Hound,113.0,25.0,27.0,50.0,60.0,12.0,15.0,Hound Group,0.8,0.2,0.8,0.2,0.2
Airedale Terrier,60.0,21.0,23.0,44.0,50.0,11.0,14.0,Terrier Group,0.6,0.4,0.6,1.0,0.8
Akita,47.0,24.0,28.0,70.0,130.0,10.0,13.0,Working Group,0.8,0.6,0.8,1.0,0.6
Alaskan Malamute,58.0,23.0,25.0,75.0,85.0,10.0,14.0,Working Group,0.6,0.6,0.8,0.4,0.8
American Bulldog,0.0,20.0,25.0,60.0,100.0,10.0,12.0,Foundation Stock Service,0.2,0.6,0.8,0.6,0.6
American English Coonhound,175.0,23.0,25.0,60.0,70.0,11.0,12.0,Hound Group,0.2,0.4,0.8,0.6,0.6
American Eskimo Dog,122.0,14.0,19.0,18.0,35.0,13.0,15.0,Non-Sporting Group,0.4,0.6,0.8,1.0,1.0
American Foxhound,186.0,21.0,25.0,60.0,70.0,11.0,13.0,Hound Group,0.2,0.6,0.8,0.4,0.8
American Hairless Terrier,136.0,12.0,16.0,12.0,24.0,14.0,16.0,Terrier Group,0.2,0.2,0.8,0.4,0.6
American Leopard Hound,0.0,21.0,27.0,45.0,65.0,12.0,15.0,Foundation Stock Service,0.4,0.6,0.8,1.0,0.6
American Staffordshire Terrier,85.0,17.0,19.0,40.0,70.0,12.0,16.0,Terrier Group,0.2,0.4,0.6,0.6,0.6
American Water Spaniel,166.0,15.0,18.0,25.0,45.0,10.0,14.0,Sporting Group,0.6,0.2,0.6,1.0,0.8
Anatolian Shepherd Dog,90.0,27.0,32.0,88.0,143.0,11.0,13.0,Working Group,0.4,0.6,0.6,0.4,0.4
Appenzeller Sennenhund,0.0,19.0,23.0,45.0,55.0,12.0,15.0,Foundation Stock Service,0.4,0.8,1.0,0.2,0.4
Australian Cattle Dog,55.0,17.0,20.0,33.0,50.0,12.0,16.0,Herding Group,0.2,0.8,1.0,0.2,0.4
Australian Kelpie,0.0,17.0,23.0,25.0,45.0,10.0,13.0,Foundation Stock Service,0.4,0.8,0.8,1.0,0.6
Australian Shepherd,17.0,18.0,23.0,40.0,65.0,12.0,15.0,Herding Group,0.4,0.6,0.8,1.0,0.6
Australian Stumpy Tail Cattle Dog,0.0,17.0,20.0,32.0,45.0,12.0,15.0,Foundation Stock Service,0.4,0.4,0.8,0.8,0.6
Australian Terrier,140.0,10.0,11.0,15.0,20.0,11.0,15.0,Terrier Group,0.4,0.2,0.8,0.6,0.8
Azawakh,0.0,23.0,29.0,37.0,45.0,12.0,15.0,Hound Group,0.4,0.4,0.6,0.4,0.8
Barbet,0.0,19.0,25.0,35.0,65.0,12.0,14.0,Sporting Group,0.4,0.2,0.6,0.6,0.8
Basenji,87.0,16.0,17.0,22.0,24.0,13.0,14.0,Hound Group,0.2,0.4,0.8,0.4,0.4
Basset Fauve de Bretagne,0.0,12.0,16.0,23.0,39.0,12.0,12.0,Foundation Stock Service,0.4,0.6,0.6,0.2,1.0
Basset Hound,39.0,14.0,14.0,50.0,70.0,12.0,13.0,Hound Group,0.6,0.4,0.2,0.4,0.8
Bavarian Mountain Scent Hound,0.0,17.0,21.0,37.0,66.0,12.0,15.0,Foundation Stock Service,0.4,0.8,0.6,0.6,0.4
Beagle,6.0,15.0,15.0,22.0,25.0,10.0,15.0,Hound Group,0.6,0.6,0.8,0.6,0.8
Bearded Collie,127.0,20.0,22.0,40.0,60.0,12.0,14.0,Herding Group,0.8,0.6,0.6,0.4,1.0
Beauceron,124.0,24.0,28.0,70.0,110.0,10.0,12.0,Herding Group,0.6,1.0,1.0,0.8,0.4
Bedlington Terrier,141.0,15.0,18.0,17.0,23.0,11.0,16.0,Terrier Group,0.6,0.4,0.8,0.6,0.6
Belgian Laekenois,0.0,22.0,26.0,55.0,65.0,10.0,12.0,Miscellaneous Class,0.4,0.8,0.8,0.8,0.4
Belgian Malinois,43.0,22.0,26.0,40.0,80.0,14.0,16.0,Herding Group,0.4,0.6,0.8,0.8,0.4
Belgian Sheepdog,125.0,22.0,26.0,45.0,75.0,12.0,14.0,Herding Group,0.6,0.6,0.8,0.8,0.4
Belgian Tervuren,106.0,22.0,26.0,45.0,75.0,12.0,14.0,Herding Group,0.6,0.6,0.8,0.8,0.4
Bergamasco Sheepdog,187.0,22.0,24.0,57.0,84.0,13.0,15.0,Herding Group,0.2,0.2,0.4,0.6,0.4
Berger Picard,144.0,21.0,26.0,50.0,70.0,12.0,13.0,Herding Group,0.2,0.6,1.0,0.8,0.6
Bernese Mountain Dog,22.0,23.0,25.0,125.0,135.0,7.0,10.0,Working Group,0.6,1.0,0.8,0.8,0.4
Bichon Frise,46.0,9.0,12.0,12.0,18.0,14.0,15.0,Non-Sporting Group,1.0,0.2,0.6,0.6,1.0
Biewer Terrier,0.0,7.0,11.0,4.0,8.0,16.0,16.0,Miscellaneous Class,0.6,0.4,0.4,1.0,1.0
Black Russian Terrier,118.0,26.0,30.0,80.0,130.0,10.0,12.0,Working Group,0.8,0.6,0.8,0.8,0.4
Black and Tan Coonhound,138.0,23.0,26.0,50.0,65.0,10.0,12.0,Hound Group,0.4,0.6,0.6,0.4,0.8
Bloodhound,49.0,23.0,27.0,80.0,110.0,10.0,12.0,Hound Group,0.4,0.6,0.6,0.4,0.6
Bluetick Coonhound,130.0,21.0,27.0,45.0,80.0,11.0,12.0,Hound Group,0.4,0.6,0.8,0.6,0.8
Boerboel,121.0,22.0,27.0,150.0,200.0,9.0,11.0,Working Group,0.2,0.4,0.4,0.6,0.4
Bohemian Shepherd,0.0,19.0,22.0,37.0,60.0,12.0,15.0,Foundation Stock Service,0.2,0.4,0.6,0.8,0.6
Bolognese,0.0,10.0,12.0,6.0,10.0,12.0,14.0,Foundation Stock Service,0.6,0.2,0.4,0.6,0.8
Border Collie,35.0,17.0,24.0,25.0,65.0,12.0,15.0,Herding Group,0.6,0.6,1.0,1.0,0.4
Border Terrier,88.0,13.0,14.0,15.0,16.0,12.0,15.0,Terrier Group,0.4,0.4,0.6,0.8,0.8
Borzoi,103.0,26.0,28.0,60.0,105.0,9.0,14.0,Hound Group,0.4,0.6,0.8,0.4,0.6
Boston Terrier,21.0,15.0,17.0,12.0,25.0,11.0,13.0,Non-Sporting Group,0.4,0.2,0.6,1.0,1.0
Bouvier des Flandres,84.0,23.0,28.0,60.0,90.0,10.0,12.0,Herding Group,0.8,0.6,0.8,0.6,0.6
Boxer,11.0,21.0,25.0,53.0,70.0,10.0,12.0,Working Group,0.4,0.4,0.8,0.8,1.0
Boykin Spaniel,100.0,14.0,18.0,25.0,40.0,10.0,15.0,Sporting Group,0.6,0.6,0.6,1.0,0.6
Bracco Italiano,0.0,21.0,27.0,55.0,90.0,10.0,14.0,Miscellaneous Class,0.2,0.4,0.8,0.8,0.6
Braque Francais Pyrenean,0.0,18.0,23.0,40.0,55.0,12.0,14.0,Foundation Stock Service,0.2,0.6,1.0,0.4,0.8
Braque du Bourbonnais,0.0,19.0,22.0,35.0,55.0,10.0,12.0,Foundation Stock Service,0.2,0.4,0.6,1.0,0.6
Briard,132.0,22.0,27.0,75.0,75.0,12.0,12.0,Herding Group,0.8,0.2,0.6,0.4,0.4
Brittany,26.0,18.0,21.0,30.0,40.0,12.0,14.0,Sporting Group,0.6,0.6,1.0,1.0,0.8
Broholmer,0.0,27.0,30.0,90.0,150.0,8.0,10.0,Foundation Stock Service,0.2,0.6,0.4,0.4,0.8
Brussels Griffon,98.0,7.0,10.0,8.0,10.0,12.0,15.0,Toy Group,0.6,0.6,0.6,0.6,0.8
Bull Terrier,62.0,19.0,20.0,45.0,45.0,12.0,13.0,Terrier Group,0.4,0.6,0.8,0.4,0.8
Bulldog,5.0,14.0,15.0,40.0,50.0,8.0,10.0,Non-Sporting Group,0.6,0.8,0.6,0.6,0.8
Bullmastiff,51.0,24.0,27.0,100.0,130.0,7.0,9.0,Working Group,0.2,0.6,0.8,0.6,0.6
Cairn Terrier,69.0,9.0,10.0,14.0,14.0,13.0,15.0,Terrier Group,0.4,0.4,0.6,0.6,0.8
Canaan Dog,179.0,19.0,24.0,35.0,55.0,12.0,15.0,Herding Group,0.4,1.0,0.6,0.4,0.4
Cane Corso,32.0,23.0,28.0,90.0,120.0,9.0,12.0,Working Group,0.2,0.4,0.8,0.6,0.6
Cardigan Welsh Corgi,68.0,10.0,13.0,25.0,38.0,12.0,15.0,Herding Group,0.4,0.6,0.8,0.6,0.6
Carolina Dog,0.0,17.0,20.0,30.0,55.0,12.0,15.0,Foundation Stock Service,0.2,0.6,0.6,1.0,0.6
Catahoula Leopard Dog,0.0,20.0,26.0,50.0,90.0,10.0,14.0,Foundation Stock Service,0.4,0.6,1.0,0.4,0.4
Caucasian Shepherd Dog,0.0,23.0,30.0,99.0,170.0,10.0,12.0,Foundation Stock Service,0.6,0.8,0.4,0.4,0.2
Cavalier King Charles Spaniel,18.0,12.0,13.0,13.0,18.0,12.0,15.0,Toy Group,0.4,0.4,0.4,1.0,0.8
Central Asian Shepherd Dog,0.0,25.0,28.0,88.0,110.0,12.0,15.0,Foundation Stock Service,0.2,0.6,0.4,0.4,0.2
Cesky Terrier,185.0,10.0,14.0,16.0,18.0,12.0,15.0,Terrier Group,0.4,0.4,0.6,0.6,0.4
Chesapeake Bay Retriever,45.0,21.0,26.0,55.0,80.0,10.0,13.0,Sporting Group,0.6,0.8,0.8,0.6,0.4
Chihuahua,33.0,5.0,8.0,5.0,7.0,14.0,16.0,Toy Group,0.2,0.4,0.6,0.4,0.6
Chinese Crested,79.0,11.0,13.0,8.0,12.0,13.0,18.0,Toy Group,0.2,0.2,0.6,0.6,0.8
Chinese Shar-Pei,64.0,18.0,20.0,35.0,55.0,8.0,12.0,Non-Sporting Group,0.2,0.8,0.6,0.2,0.4
Chinook,190.0,20.0,28.0,55.0,70.0,12.0,15.0,Working Group,0.4,0.6,0.8,1.0,0.8
Chow Chow,75.0,17.0,20.0,55.0,55.0,8.0,12.0,Non-Sporting Group,0.6,0.6,0.6,0.2,0.4
Cirneco dell Etna,183.0,16.0,20.0,17.0,26.0,12.0,14.0,Hound Group,0.2,0.2,0.6,0.6,0.6
Clumber Spaniel,143.0,17.0,20.0,55.0,85.0,10.0,12.0,Sporting Group,0.4,0.8,0.6,0.6,0.4
Cocker Spaniel,30.0,13.0,16.0,15.0,30.0,10.0,14.0,Sporting Group,0.8,0.4,0.6,1.0,1.0
Collie,38.0,22.0,26.0,50.0,75.0,12.0,14.0,Herding Group,0.6,0.6,0.6,0.8,0.8
Coton de Tulear,81.0,9.0,11.0,8.0,15.0,15.0,19.0,Non-Sporting Group,0.8,0.4,0.6,0.8,1.0
Croatian Sheepdog,0.0,16.0,20.0,29.0,44.0,13.0,14.0,Foundation Stock Service,0.2,0.4,1.0,1.0,0.4
Curly-Coated Retriever,162.0,25.0,27.0,70.0,70.0,10.0,12.0,Sporting Group,0.2,0.4,0.8,0.4,0.4
Czechoslovakian Vlcak,0.0,23.0,26.0,44.0,57.0,10.0,15.0,Foundation Stock Service,0.4,1.0,1.0,0.2,0.2
Dachshund,12.0,5.0,9.0,10.0,25.0,12.0,16.0,Hound Group,0.4,0.4,0.6,0.6,0.6
Dalmatian,56.0,21.0,24.0,51.0,55.0,11.0,13.0,Non-Sporting Group,0.4,1.0,0.8,0.6,0.6
Dandie Dinmont Terrier,176.0,8.0,11.0,18.0,24.0,12.0,15.0,Terrier Group,0.8,0.2,0.6,0.4,0.4
Danish-Swedish Farmdog,0.0,12.0,15.0,15.0,20.0,11.0,13.0,Foundation Stock Service,0.2,0.4,0.8,1.0,0.8
Deutscher Wachtelhund,0.0,18.0,21.0,40.0,55.0,12.0,14.0,Foundation Stock Service,0.4,0.8,0.6,1.0,0.8
Doberman Pinscher,17.0,24.0,28.0,66.0,99.0,10.0,12.0,Working Group,0.2,0.8,1.0,1.0,0.6
Dogo Argentino,0.0,24.0,27.0,80.0,100.0,9.0,15.0,Working Group,0.2,0.2,1.0,1.0,0.8
