breed_x,Img_Link
Affenpinscher,https://www.akc.org/wp-content/uploads/2017/11/Affenpinscher-running-outdoors.jpg
Afghan Hound,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02151216/Afghan-Hound-standing-in-a-garden.jpg
Airedale Terrier,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02165956/Airedale-Terrier-standing-stacked-outdoors.jpg
Akita,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/06154034/Akita-standing-outdoors-in-the-summer.jpg
Alaskan Malamute,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09151144/Alaskan-Malamute-standing-in-the-grass1.jpg
American Bulldog,https://www.akc.org/wp-content/uploads/2020/01/American-Bulldog-standing-in-three-quarter-view.jpg
American English Coonhound,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12133501/American-English-Coonhound-howling-in-a-field1.jpg
American Eskimo Dog,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12153852/American-Eskimo-Dog-standing-in-the-grass-in-bright-sunlight.jpg
American Foxhound,https://www.akc.org/wp-content/uploads/2018/06/american-foxhound-pair-looking-up.jpg
American Hairless Terrier,https://www.akc.org/wp-content/uploads/2017/11/American-Hairless-Terrier-standing-in-the-grass-on-lead.jpg
American Leopard Hound,https://www.akc.org/wp-content/uploads/2017/11/American-Leopard-Hound-On-White-01.jpg
American Staffordshire Terrier,https://www.akc.org/wp-content/uploads/2017/11/AmStaff.01.jpg
American Water Spaniel,https://www.akc.org/wp-content/uploads/2017/11/American-Water-Spaniel.1.jpg
Anatolian Shepherd Dog,https://www.akc.org/wp-content/uploads/2017/11/Anatolian-Shepherd-Dog-On-White-01.jpg
Appenzeller Sennenhund,https://www.akc.org/wp-content/uploads/2017/11/AdobeStock_11176134.jpg
Australian Cattle Dog,https://www.akc.org/wp-content/uploads/2017/11/Australian-Cattle-Dog-laying-down-in-the-grass.jpg
Australian Kelpie,https://www.akc.org/wp-content/uploads/2017/11/Australian-Kelpie-herding-sheep.jpg
Australian Shepherd,https://www.akc.org/wp-content/uploads/2017/11/Australian-Shepherd.1.jpg
Australian Stumpy Tail Cattle Dog,https://www.akc.org/wp-content/uploads/2018/07/Australian-Stumpy-Tail-Cattle-Dog-Slideshow-04.jpg
Australian Terrier,https://www.akc.org/wp-content/uploads/2017/11/Australian-Terrier-standing-in-the-garden.jpg
Azawakh,https://www.akc.org/wp-content/uploads/2017/11/Azawakh_178091272.jpg
Barbet,https://www.akc.org/wp-content/uploads/2017/11/Barbet-standing-in-the-snow.jpg
Basenji,https://www.akc.org/wp-content/uploads/2017/11/Basenji-running-through-a-field.jpg
Basset Fauve de Bretagne,https://www.akc.org/wp-content/uploads/2017/11/AdobeStock_23183632.jpg
Basset Hound,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/07200501/Basset-Hound-standing-in-the-garden.jpg
