akc_breed,breed
affenpinscher,affenpinscher
afghan_hound,afghan_hound
airedale_terrier,airedale
akita,
alaskan_malamute,malamute
american_bulldog,
american_english_coonhound,
american_eskimo_dog,eskimo_dog
american_foxhound,
american_hairless_terrier,
american_leopard_hound,
american_staffordshire_terrier,american_staffordshire_terrier
american_water_spaniel,
anatolian_shepherd_dog,
appenzeller_sennenhund,appenzeller
australian_cattle_dog,
australian_kelpie,kelpie
australian_shepherd,
australian_stumpy_tail_cattle_dog,
australian_terrier,australian_terrier
azawakh,
barbet,
basenji,basenji
basset_fauve_de_bretagne,
basset_hound,basset
bavarian_mountain_scent_hound,
beagle,beagle
bearded_collie,
beauceron,
bedlington_terrier,bedlington_terrier
belgian_laekenois,
belgian_malinois,malinois
belgian_sheepdog,groenendael
belgian_tervuren,
bergamasco_sheepdog,
berger_picard,
bernese_mountain_dog,bernese_mountain_dog
bichon_frise,
biewer_terrier,
black_and_tan_coonhound,black-and-tan_coonhound
black_russian_terrier,
bloodhound,bloodhound
bluetick_coonhound,bluetick
boerboel,
bohemian_shepherd,
bolognese,
border_collie,border_collie
border_terrier,border_terrier
borzoi,borzoi
boston_terrier,boston_bull
bouvier_des_flandres,bouvier_des_flandres
boxer,boxer
boykin_spaniel,
bracco_italiano,
braque_du_bourbonnais,
braque_francais_pyrenean,
briard,briard
brittany,brittany_spaniel
broholmer,
brussels_griffon,brabancon_griffon
bull_terrier,
bulldog,
bullmastiff,bull_mastiff
cairn_terrier,cairn
canaan_dog,
cane_corso,
cardigan_welsh_corgi,cardigan
carolina_dog,
catahoula_leopard_dog,
caucasian_shepherd_dog,
cavalier_king_charles_spaniel,blenheim_spaniel
central_asian_shepherd_dog,
cesky_terrier,
chesapeake_bay_retriever,chesapeake_bay_retriever
chihuahua,chihuahua
chinese_crested,
chinese_shar-pei,
chinook,
chow_chow,chow
cirneco_dell’etna,
clumber_spaniel,clumber
cocker_spaniel,cocker_spaniel
collie,collie
coton_de_tulear,
croatian_sheepdog,
curly-coated_retriever,curly-coated_retriever
czechoslovakian_vlcak,
dachshund,
dalmatian,
dandie_dinmont_terrier,dandie_dinmont
danish-swedish_farmdog,
deutscher_wachtelhund,
