,Breed,Img_Link
0,Affenpinscher,https://www.akc.org/wp-content/uploads/2017/11/Affenpinscher-running-outdoors.jpg
1,Afghan-Hound,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02151216/Afghan-Hound-standing-in-a-garden.jpg
2,Airedale-Terrier,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02165956/Airedale-Terrier-standing-stacked-outdoors.jpg
3,Akita,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/06154034/Akita-standing-outdoors-in-the-summer.jpg
4,Alaskan-Malamute,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09151144/Alaskan-Malamute-standing-in-the-grass1.jpg
5,American-Bulldog,https://www.akc.org/wp-content/uploads/2020/01/American-Bulldog-standing-in-three-quarter-view.jpg
6,American-English-Coonhound,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12133501/American-English-Coonhound-howling-in-a-field1.jpg
7,American-Eskimo-Dog,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12153852/American-Eskimo-Dog-standing-in-the-grass-in-bright-sunlight.jpg
8,American-Foxhound,https://www.akc.org/wp-content/uploads/2018/06/american-foxhound-pair-looking-up.jpg
9,American-Hairless-Terrier,https://www.akc.org/wp-content/uploads/2017/11/American-Hairless-Terrier-standing-in-the-grass-on-lead.jpg
10,American-Leopard-Hound,https://www.akc.org/wp-content/uploads/2017/11/American-Leopard-Hound-On-White-01.jpg
11,American-Staffordshire-Terrier,https://www.akc.org/wp-content/uploads/2017/11/AmStaff.01.jpg
12,American-Water-Spaniel,https://www.akc.org/wp-content/uploads/2017/11/American-Water-Spaniel.1.jpg
13,Anatolian-Shepherd-Dog,https://www.akc.org/wp-content/uploads/2017/11/Anatolian-Shepherd-Dog-On-White-01.jpg
14,Appenzeller-Sennenhund,https://www.akc.org/wp-content/uploads/2017/11/AdobeStock_11176134.jpg
